,SR,TaSharks,MaxL,Depth,Chla_median,Chla_sd,SST_median,SST_sd,pop_50km,pop_500km,Dist_nearest_pop,Dist_nearest_market,HDI,Dcoast_km,DCoralT_km,DistSeamount_km,GDP,Dist_SMT1500,FishingEffort01,FishingEffort05
CH2099,4,3.66,77.34,500,0.131012,0.022663406,28.73,0.571115159,0,0,631.5167243,1249.405503,0.697912839,10.75903726,4668.121147,19.35057159,3032.239478,19.35057159,0,0
CH2100,4,3.8,120.07,500,0.131012,0.022663406,28.73,0.571115159,0,0,631.6277111,1249.519755,0.697912839,10.86639353,4668.080319,19.33993417,3032.239478,19.33993417,0,0
CH2101,1,4.48,210,500,0.131012,0.022663406,28.73,0.571115159,0,0,631.7269012,1249.621825,0.697912839,10.96210508,4668.044392,19.33044283,3032.239478,19.33044283,0,0
CH2102,3,3.5,151.67,500,0.131012,0.022663406,28.73,0.571115159,0,0,631.8420424,1249.740278,0.697912839,11.07301149,4668.003158,19.31960764,3032.239478,19.31960764,0,0
CH2103,3,3.45,80.34,500,0.131012,0.022663406,28.73,0.571115159,0,0,631.9374121,1249.838358,0.697912839,11.16467586,4667.969479,19.31069946,3032.239478,19.31069946,0,0
CH2104,4,3.76,103.81,500,0.131012,0.022663406,28.7385,0.575061865,0,0,632.0664353,1249.971094,0.697912839,11.2890016,4667.923147,19.30001038,3032.239478,19.30001038,0,0
CH2106,8,3.76,186.55,220,0.127800003,0.032048826,28.387,0.616681518,0,0,825.9216856,1446.437228,0.697912839,28.4731354,4619.588249,45.11575763,3032.239478,45.11575763,0,0
CH2108,3,3.57,140.67,135,0.124932498,0.035791227,28.382,0.615604718,0,0,826.1814925,1446.682929,0.697912839,28.91624947,4620.174361,44.78047333,3032.239478,44.78047333,0,0
CH2109,4,3.35,86.25,157,0.124932498,0.035791227,28.382,0.615604718,0,0,826.2340948,1446.725186,0.697912839,29.28402381,4620.593993,44.65924541,3032.239478,44.65924541,0,0
CH2110,6,3.71,144.5,143,0.124932498,0.035791227,28.382,0.615604718,0,0,826.5655428,1447.053543,0.697912839,29.30000546,4620.735064,44.34919154,3032.239478,44.34919154,0,0
CH2111,3,3.81,193,91,0.124932498,0.035791227,28.382,0.615604718,0,0,826.5121266,1447.0042,0.697912839,29.16454534,4620.568762,44.42448469,3032.239478,44.42448469,0,0
CH2112,1,4.48,300,78,0.124932498,0.035791227,28.382,0.615604718,0,0,826.4269219,1446.926536,0.697912839,28.90932871,4620.260511,44.55366175,3032.239478,44.55366175,0,0
CH2113,3,4.13,243,76,0.127800003,0.032048826,28.387,0.616681518,0,0,826.3875274,1446.89933,0.697912839,28.46623613,4619.76416,44.68187991,3032.239478,44.68187991,0,0
CH2114,3,4.03,230,128,0.127800003,0.032048826,28.387,0.616681518,0,0,826.153496,1446.663465,0.697912839,28.6073474,4619.826944,44.87035013,3032.239478,44.87035013,0,0
CH2115,3,4.04,228.75,130,0.127800003,0.032048826,28.387,0.616681518,0,0,826.0965671,1446.611405,0.697912839,28.44365424,4619.625776,44.9584776,3032.239478,44.9584776,0,0
CH2116,5,4.02,183.29,141,0.127800003,0.032048826,28.387,0.616681518,0,0,826.2747658,1446.804422,0.697912839,27.83163299,4619.027159,44.92845759,3032.239478,44.92845759,0,0
CH2117,3,4.25,192.88,78,0.127800003,0.032048826,28.387,0.616681518,0,0,826.4932872,1447.019003,0.697912839,27.91093244,4619.200249,44.70534356,3032.239478,44.70534356,0,0
CH2118,5,3.97,217.5,68,0.127800003,0.032048826,28.387,0.616681518,0,0,826.7252474,1447.236967,0.697912839,28.36670173,4619.784631,44.38837036,3032.239478,44.38837036,0,0
CH2119,5,4.16,232.64,70,0.124932498,0.035791227,28.382,0.615604718,0,0,826.7831988,1447.284846,0.697912839,28.72742041,4620.196478,44.25955043,3032.239478,44.25955043,0,0
CH2120,4,3.81,197.4,83,0.124932498,0.035791227,28.382,0.615604718,0,0,826.7414297,1447.233969,0.697912839,29.0792663,4620.561778,44.22847738,3032.239478,44.22847738,0,0
CH2121,5,4,221,97,0.124932498,0.035791227,28.382,0.615604718,0,0,827.2188956,1447.722855,0.697912839,28.51226157,4620.125001,43.89906254,3032.239478,43.89906254,0,0
CH2122,3,4.14,200.49,121,0.124932498,0.035791227,28.382,0.615604718,0,0,827.1609314,1447.658594,0.697912839,28.76535933,4620.376819,43.90151454,3032.239478,43.90151454,0,0
CH2123,2,3.05,84,111,0.124932498,0.035791227,28.382,0.615604718,0,0,827.0639349,1447.555982,0.697912839,29.00332407,4620.598125,43.94456865,3032.239478,43.94456865,0,0
CH2124,4,3.21,42.13,98,0.124932498,0.035791227,28.382,0.615604718,0,0,826.0626011,1446.549113,0.697912839,29.50512947,4620.768831,44.776434,3032.239478,44.776434,0,0
CH2125,4,3.9,194.34,100,0.124932498,0.035791227,28.376,0.615723411,0,0,825.8811303,1446.366903,0.697912839,29.58775585,4620.789086,44.92928469,3032.239478,44.92928469,0,0
CH2126,3,2.94,81.8,86,0.124932498,0.035791227,28.376,0.615723411,0,0,825.7571803,1446.24765,0.697912839,29.45335115,4620.594506,45.06965331,3032.239478,45.06965331,0,0
CH2127,4,3.31,116.8,121,0.124932498,0.035791227,28.376,0.615723411,0,0,825.6837327,1446.178993,0.697912839,29.30007892,4620.398198,45.16756614,3032.239478,45.16756614,0,0
